name,sku,amount sold
Harvard Hooded Arc Sweatshirt / Crimson / S,2147,1
Harvard Crest T-Shirt / S / Crimson,264,4
Harvard Collegiate Tee / Oxford / M,10989,1
Classic H Hat / Ivory,11019,1
Harvard Lanyard / Crimson,847,6
Harvard Future Freshman Shirt / Oxford / YS,656,2
Toddler Harvard Crest T-shirt / Pink / 4T,10425,3
Harvard T-Shirt Keychain / Crimson,784,2
Harvard 3D Crest Magnet / White,1514,5
Harvard Hooded Arc Sweatshirt / Crimson / M,599,2
Harvard Leather Keychain / Brown,1688,2
Metallic Crest Shot Glass / Crimson,4028,1
Clutch Wristlet / Black,10656,1
Red Harvard Pen / Crimson,2720,5
White Harvard Pen / White,2742,1
Harvard Crest T-Shirt / M / Oxford,260,2
"""H"" Car Decal / Crimson",2722,1
Harvard Applique Full Zip / L / Crimson,10645,1
Harvard Hooded Crest Sweatshirt / Crimson / M,3698,4
Pro-Weave Crewneck / Black / S,10807,1
Harvard Tumbler / Pink,10479,1
Harvard Crest Hat / Crimson,10736,3
Etched Harvard Mug / Crimson,10660,1
Harvard Quarter Zip Applique / Oxford / L,10602,1
Silver Rectangular Keychain / Silver,1642,2
Harvard H Shield Pin / Black,882,1
Harvard Bottle Opener Keychain / Silver,1680,2
Harvard Hooded Crest Sweatshirt / Navy / S,4046,1
Premium Comfort T-Shirt / Oxford / XL,11076,1
Harvard Crest T-Shirt / M / Crimson,265,7
Crest Speckled Mug / Crimson,10824,1
Harvard Arc T-shirt / XL / Oxford,316,1
Harvard Youth Crest T-Shirt / Oxford / YS,3095,2
Toddler Harvard Crest T-shirt / Oxford / 5T,10422,2
Future Freshman Toddler T-shirt / 4T / Oxford,10661,1
Toddler Harvard Crest T-shirt / Pink / 5T,10426,1
Harvard Magnet Set / Crimson,10994,2
Wine Bottle Keychain / Crimson,10348,2
Youth Harvard Crest Hooded Sweatshirt / Crimson / YS,3175,1
Harvard Toddler Pocket Tee / Crimson / Striped / 4T,10940,1
Harvard Est. 1636 Hat / Navy,11093,2
Harvard Arc T-shirt / L / Oxford,315,1
Harvard Arc T-shirt / L / Black,4044,1
Harvard Hooded Crest Sweatshirt / Navy / M,4047,2
Harvard Hooded Crest Sweatshirt / Navy / L,4048,2
Tower Shield Keychain / Silver,10113,2
Leather Crest Keychain / Crimson,10853,2
Leather Strap Keychain / Crimson,10854,2
Harvard Crest Hat / Ivory,10742,1
Harvard Bistro Mug / Ivory,859,2
Harvard Crest Shot Glass,677,2
Havard Ladies Crest TriBlend / Oxford / M,10980,1
Harvard Crest T-Shirt / M / Navy,3942,3
Havard Ladies Crest TriBlend / Oxford / S,10979,1
Harvard Crest T-Shirt / S / Navy,3941,2
Harvard Crest T-Shirt / S / Oxford,259,1
Harvard 1636 Pin / Gold,895,2
Harvard Hockey Applique Sweatshirt / Oxford / L,10689,1
Pro-Weave Hood / Crimson / M,10816,1
Harvard Hockey Applique Sweatshirt / Oxford / M,10688,2
Harvard Ladies Athletic Shorts / Maroon / S,10493,1
Harvard Ladies Athletic Shorts / Maroon / M,10494,1
Harvard Felt Pennant Magnet / Crimson,10999,2
Harvard Crest Postcard / Black,2992,1
Harvard Athletic Shorts / Black / S,10489,1
Harvard Mug / White,829,3
3-in-1 LED Stylus Pen / Black,10857,2
Harvard Youth Arc T-Shirt / Crimson / YM,3685,1
Harvard Youth Arc T-Shirt / Oxford / YXS,659,1
Harvard Youth Arc T-Shirt / Crimson / YL,3686,1
Youth Harvard Crest Hooded Sweatshirt / Crimson / YM,3176,2
Harvard Hooded Crest Sweatshirt / Crimson / L,3699,4
Harvard Arc T-shirt / M / Crimson,1201,1
Harvard Arc T-shirt / S / Crimson,1200,1
