name,sku,amount sold
Harvard Youth Crest T-Shirt / Crimson / YM,3100,1
Harvard Youth Crest T-Shirt / Crimson / YS,3099,2
Harvard Pocket Umbrella / Crimson,1438,1
Harvard Pin / Crimson,894,1
Harvard Youth Crest T-Shirt / Oxford / YXS,3094,1
Harvard Crest T-Shirt / M / Navy,3942,2
Harvard Hooded Crest Sweatshirt / Oxford / M,3693,1
Harvard Crest T-Shirt / M / Oxford,260,1
Harvard Premium Quarter Zip / Navy / S,11125,1
Hahvahd T-Shirt / M / Crimson,1390,1
Harvard Hooded Crest Sweatshirt / Navy / S,4046,1
Harvard Hooded Arc Sweatshirt / Oxford / S,1950,1
Harvard Crest T-Shirt / S / Crimson,264,1
Harvard Crest T-Shirt / S / Oxford,259,2
Harvard Shield Hat / Crimson,10889,2
Harvard Crest Whiskey Shot Glass / Harvard Crest,838,1
Harvard Panda Bear / ,10478,1
Harvard 3D Johnston Gate Magnet,1513,1
Harvard 3D Crest Magnet / White,1514,1
White Harvard Pen / White,2742,1
Harvard Crest T-Shirt / XXL / Navy,3973,1
Harvard Hooded Crest Sweatshirt / Oxford / S,3692,1
Harvard Hooded Crest Sweatshirt / Crimson / M,3698,1
Harvard Stein Glass / Glass Stein,840,1
Harvard Quarter Zip Applique / Oxford / L,10602,1
Harvard Quarter Zip Applique / Oxford / XS,10599,1
Harvard H Magnet Clip / Crimson,11000,1
Leather Strap Keychain / Crimson,10854,1
