name,sku,amount sold
Harvard Youth Crest T-Shirt / Crimson / YM,3100,4
Harvard Youth Crest T-Shirt / Crimson / YS,3099,2
Harvard Pocket Umbrella / Crimson,1438,1
Harvard Pin / Crimson,894,1
Harvard Youth Crest T-Shirt / Oxford / YXS,3094,2
Harvard Crest T-Shirt / M / Navy,3942,5
Harvard Hooded Crest Sweatshirt / Oxford / M,3693,1
Harvard Crest T-Shirt / M / Oxford,260,4
Harvard Premium Quarter Zip / Navy / S,11125,1
Hahvahd T-Shirt / M / Crimson,1390,2
Harvard Hooded Crest Sweatshirt / Navy / S,4046,2
Harvard Hooded Arc Sweatshirt / Oxford / S,1950,2
Harvard Crest T-Shirt / S / Crimson,264,5
Harvard Crest T-Shirt / S / Oxford,259,9
Harvard Shield Hat / Crimson,10889,2
Harvard Crest Whiskey Shot Glass / Harvard Crest,838,1
Harvard Panda Bear / ,10478,1
Harvard 3D Johnston Gate Magnet,1513,4
Harvard 3D Crest Magnet / White,1514,3
White Harvard Pen / White,2742,8
Harvard Crest T-Shirt / XXL / Navy,3973,2
Harvard Hooded Crest Sweatshirt / Oxford / S,3692,1
Harvard Hooded Crest Sweatshirt / Crimson / M,3698,2
Harvard Stein Glass / Glass Stein,840,1
Harvard Quarter Zip Applique / Oxford / L,10602,1
Harvard Quarter Zip Applique / Oxford / XS,10599,2
Harvard H Magnet Clip / Crimson,11000,1
Leather Strap Keychain / Crimson,10854,1
Future Freshman Onesie / 18M / Oxford,10565,1
Future Freshman Onesie / 12M / Oxford,10564,1
H Long Sleeve Victory Tee / M / Crimson,11010,1
Harvard Pencil / 6pk Pencil Pack / Crimson,10118,7
Leather Harvard Padfolio / Black,10070,5
Harvard Arc T-shirt / L / Crimson,1119,5
Harvard Youth Crest T-Shirt / Crimson / YL,3101,1
Harvard Future Freshman Shirt / Pink / YL,666,1
Pro-Weave Hood / Ivory / XS,10917,2
Leather Crest Keychain / Crimson,10853,6
Engraved Color Harvard Keychain / Silver,1644,3
Harvard 1636 Putty Hat / Ivory,10608,1
Harvard Pewter Magnet Clip / Silver,3778,3
Harvard T-Shirt Keychain / Crimson,784,4
Pewter Keychain / Silver,3779,1
Harvard Est. 1636 Hat / Navy,11093,4
Tower Shield Keychain / Silver,10113,1
Harvard Long Sleeve T-Shirt / Crimson / S,10609,4
H Long Sleeve Victory Tee / XL / Crimson,11012,1
Harvard Hooded Crest Sweatshirt / Navy / M,4047,1
H Long Sleeve Victory Tee / S / Crimson,11009,1
Harvard Crest Cordial Shooter,839,1
Harvard Hooded Crest Sweatshirt / Crimson / S,3697,2
Harvard Ladies Athletic Shorts / Maroon / M,10494,2
Harvard Ladies Athletic Shorts / Maroon / L,10495,1
Harvard Crest T-Shirt / L / Oxford,261,5
Harvard Crest T-Shirt / M / Crimson,265,4
Harvard Crest T-Shirt / L / Crimson,266,3
Harvard Collegiate Tee / Oxford / L,10990,2
Classic H Hat / Ivory,11019,6
Harvard Crest Shot Glass,677,2
H 1636 Hat / Crimson,11014,3
Harvard Crest T-Shirt / XL / Navy,3944,2
Havard Ladies Crest TriBlend / Oxford / XS,10978,1
Harvard Crest T-Shirt / S / Navy,3941,8
Youth Harvard Crest Hooded Sweatshirt / Crimson / YS,3175,1
Harvard Lanyard / Crimson,847,12
Harvard 1636 Pin / Gold,895,3
Harvard Arc T-shirt / S / Oxford,313,1
Harvard Hooded Arc Sweatshirt / Crimson / S,2147,1
Harvard Kennedy School Pin / Crimson,871,3
Harvard Ladies Crest T-Shirt / Pink / S,3769,2
Harvard Future Freshman Shirt / Oxford / YXS,655,3
Red Harvard Pen / Crimson,2720,5
Harvard Applique Full Zip / S / Crimson,10643,2
3-in-1 LED Stylus Pen / Crimson,10856,4
Harvard Hooded Crest Sweatshirt / Crimson / L,3699,1
Inside Harvard Third Edition,10509,3
Harvard Arc T-shirt / L / Oxford,315,1
Hahvahd T-Shirt / L / Crimson,1391,1
Hahvahd T-Shirt / XL / Crimson,1392,1
Havard Ladies Crest TriBlend / Oxford / L,10981,1
Ladies Classic Crew / L / Oxford,11051,1
Harvard Henley / Ivory / L,11042,1
Ladies Classic Crew / M / Oxford,11050,2
Havard Ladies Crest TriBlend / Oxford / M,10980,1
Ladies Arc T-Shirt / Ivory / L,10366,2
Harvard Ladies Crest T-Shirt / Pink / M,3770,1
Pro-Weave Hood / Crimson / M,10816,1
Harvard Hockey Applique Sweatshirt / Charcoal / M,10605,1
Harvard Hockey Applique Sweatshirt / Charcoal / L,10606,1
Harvard Quarter Zip Applique / Oxford / S,10600,1
Harvard Crest T-Shirt / XL / Oxford,262,4
Hat & Tee Combo / M,11005,2
Hat & Tee Combo / XL,11007,2
Harvard Teddy Bear / Brown,10653,2
Ladies Classic Crew / S / Oxford,11049,1
Harvard Hockey Applique Sweatshirt / Charcoal / S,10604,1
Harvard Barrel Pen / White,611,2
H Long Sleeve Victory Tee / S / Ivory,10932,1
Harvard Felt Pennant Magnet / Crimson,10999,1
Harvard Hooded Crest Sweatshirt / Crimson / XL,3700,1
Crest Spinner Keychain / Crimson,10860,1
Vineyard Vines Harvard Belt / Navy / 44,2419,1
Harvard 3D Weeks Bridge Magnet,10095,2
Hahvahd T-Shirt / XXL / Crimson,1393,1
Harvard Ladies Athletic Shorts / Maroon / S,10493,1
Youth Harvard Crest Hooded Sweatshirt / Crimson / YM,3176,1
Metallic Crest Shot Glass / Crimson,4028,2
Harvard Youth Crest T-Shirt / Pink / YXS,3383,4
Vintage Crew T-Shirt / Oxford / M,10345,1
Harvard Henley / Ivory / M,11041,1
Harvard Future Freshman Shirt / Oxford / YS,656,4
16H36 Harvard Hat / White,10888,1
Vintage Crew Sweatshirt / Oxford / S,3167,1
Havard Ladies Crest TriBlend / Oxford / S,10979,2
Harvard Polar Bear / White,10581,3
