product_name,sku,product_id,supply_price,old_count,new_count,dif,value_change,updated_at
Vineyard Vines Harvard Belt / Navy / 32,2413,a814c00f-6c0c-11e2-b1f5-4040782fde00,19.98,3,2,-1,-19.98,2017-07-18 16:38:19
Vineyard Vines Harvard Belt / Navy / 34,2414,a84ad3f3-6c0c-11e2-b1f5-4040782fde00,20.27,1,5,4,81.08,2017-07-18 16:38:19
Vineyard Vines Harvard Belt / Navy / 36,2415,a88a54f4-6c0c-11e2-b1f5-4040782fde00,21.28,3,1,-2,-42.56,2017-07-18 16:38:20
Vineyard Vines Harvard Belt / Navy / 38,2416,a8c4365f-6c0c-11e2-b1f5-4040782fde00,20.92,5,5,0,0.0,2017-07-18 16:38:20
Vineyard Vines Harvard Belt / Navy / 40,2417,a8fd1046-6c0c-11e2-b1f5-4040782fde00,20.68,3,5,2,41.36,2017-07-18 16:38:21
Vineyard Vines Harvard Belt / Navy / 42,2418,a934c7e4-6c0c-11e2-b1f5-4040782fde00,19.98,4,6,2,39.96,2017-07-18 16:38:21
Vineyard Vines Harvard Belt / Navy / 44,2419,a96ff873-6c0c-11e2-b1f5-4040782fde00,21.74,4,4,0,0.0,2017-07-18 16:38:22
Harvard Sweatpants / Crimson / M,3115,756892cb-6c0c-11e2-b1f5-4040782fde00,11.82,5,7,2,23.64,2017-07-18 16:38:23
Harvard Sweatpants / Crimson / L,3116,7615a3eb-6c0c-11e2-b1f5-4040782fde00,12.25,5,5,0,0.0,2017-07-18 16:38:23
Harvard Sweatpants / Crimson / XL,3117,76c6c39e-6c0c-11e2-b1f5-4040782fde00,12.3,4,5,1,12.3,2017-07-18 16:38:24
Harvard Ladies Crest T-Shirt / Crimson / M,3141,b6269ae9-6c0c-11e2-b1f5-4040782fde00,5.35,3,-4,-7,-37.449999999999996,2017-07-18 16:38:24
Harvard Ladies Crest T-Shirt / Crimson / L,3142,b6d8b8c2-6c0c-11e2-b1f5-4040782fde00,6.09,2,3,1,6.09,2017-07-18 16:38:25
Harvard Sweatpants / Ivory / S,3150,777104fa-6c0c-11e2-b1f5-4040782fde00,9.29,1,0,-1,-9.29,2017-07-18 16:38:26
Harvard Sweatpants / Ivory / M,3151,780c2ce2-6c0c-11e2-b1f5-4040782fde00,9.19,3,5,2,18.38,2017-07-18 16:38:26
Youth Harvard Crest Hooded Sweatshirt / Crimson / YS,3175,b6bb5f23-6c0c-11e2-b1f5-4040782fde00,12.04,3,6,3,36.12,2017-07-18 16:38:27
Youth Harvard Crest Hooded Sweatshirt / Crimson / YM,3176,b7a1dcad-6c0c-11e2-b1f5-4040782fde00,12.04,1,0,-1,-12.04,2017-07-18 16:38:27
Youth Harvard Crest Hooded Sweatshirt / Crimson / YL,3177,b866e35f-6c0c-11e2-b1f5-4040782fde00,12.03,2,1,-1,-12.03,2017-07-18 16:38:28
Youth Harvard Crest Hooded Sweatshirt / Crimson / YXL,3178,b91424bc-6c0c-11e2-b1f5-4040782fde00,12.06,2,4,2,24.12,2017-07-18 16:38:28
Vineyard Vines Harvard Tie / Crimson / Vine and Ivy,3206,a84fbe27-6c0c-11e2-b1f5-4040782fde00,33.49,1,1,0,0.0,2017-07-18 16:38:29
Ladies Vineyard Vines Shep Shirt / Navy / XS,3211,b56d83d6-6c0c-11e2-b1f5-4040782fde00,51.97,2,2,0,0.0,2017-07-18 16:38:30
Ladies Vineyard Vines Shep Shirt / Navy / S,3212,b5f053f6-6c0c-11e2-b1f5-4040782fde00,51.65,2,4,2,103.3,2017-07-18 16:38:30
Ladies Vineyard Vines Shep Shirt / Navy / M,3213,b635d7fa-6c0c-11e2-b1f5-4040782fde00,53.02,2,4,2,106.04,2017-07-18 16:38:31
Ladies Vineyard Vines Shep Shirt / Navy / L,3214,b678a5f6-6c0c-11e2-b1f5-4040782fde00,52.75,2,4,2,105.5,2017-07-18 16:38:31
